# item display name	tier	extra item id	extra display name	count	returnable
# Exact recipe requirements. Shapeshifter artifact/remnant tier always equals crafted tier.
Chillhowl	5	T5_ARTEFACT_MAIN_FROSTSTAFF_AVALON	Expert's Chilled Crystalline Shard	1	false
Chillhowl	6	T6_ARTEFACT_MAIN_FROSTSTAFF_AVALON	Master's Chilled Crystalline Shard	1	false
Chillhowl	7	T7_ARTEFACT_MAIN_FROSTSTAFF_AVALON	Grandmaster's Chilled Crystalline Shard	1	false
Chillhowl	8	T8_ARTEFACT_MAIN_FROSTSTAFF_AVALON	Elder's Chilled Crystalline Shard	1	false
Clarent Blade	4	T4_ARTEFACT_MAIN_SCIMITAR_MORGANA	Adept's Bloodforged Blade	1	false
Clarent Blade	5	T5_ARTEFACT_MAIN_SCIMITAR_MORGANA	Expert's Bloodforged Blade	1	false
Clarent Blade	6	T6_ARTEFACT_MAIN_SCIMITAR_MORGANA	Master's Bloodforged Blade	1	false
Clarent Blade	7	T7_ARTEFACT_MAIN_SCIMITAR_MORGANA	Grandmaster's Bloodforged Blade	1	false
Clarent Blade	8	T8_ARTEFACT_MAIN_SCIMITAR_MORGANA	Elder's Bloodforged Blade	1	false
Cowl of Purity	4	T4_ARTEFACT_HEAD_CLOTH_AVALON	Adept's Sanctified Mask	1	false
Cowl of Purity	5	T5_ARTEFACT_HEAD_CLOTH_AVALON	Expert's Sanctified Mask	1	false
Cowl of Purity	6	T6_ARTEFACT_HEAD_CLOTH_AVALON	Master's Sanctified Mask	1	false
Cowl of Purity	7	T7_ARTEFACT_HEAD_CLOTH_AVALON	Grandmaster's Sanctified Mask	1	false
Cowl of Purity	8	T8_ARTEFACT_HEAD_CLOTH_AVALON	Elder's Sanctified Mask	1	false
Cryptcandle	4	T4_ARTEFACT_OFF_LAMP_UNDEAD	Adept's Ghastly Candle	1	false
Cryptcandle	5	T5_ARTEFACT_OFF_LAMP_UNDEAD	Expert's Ghastly Candle	1	false
Cryptcandle	6	T6_ARTEFACT_OFF_LAMP_UNDEAD	Master's Ghastly Candle	1	false
Cryptcandle	7	T7_ARTEFACT_OFF_LAMP_UNDEAD	Grandmaster's Ghastly Candle	1	false
Cryptcandle	8	T8_ARTEFACT_OFF_LAMP_UNDEAD	Elder's Ghastly Candle	1	false
Crystal Reaper	4	T4_ARTEFACT_2H_SCYTHE_CRYSTAL	Adept's Edged Crystal	1	false
Crystal Reaper	5	T5_ARTEFACT_2H_SCYTHE_CRYSTAL	Expert's Edged Crystal	1	false
Crystal Reaper	6	T6_ARTEFACT_2H_SCYTHE_CRYSTAL	Master's Edged Crystal	1	false
Crystal Reaper	7	T7_ARTEFACT_2H_SCYTHE_CRYSTAL	Grandmaster's Edged Crystal	1	false
Crystal Reaper	8	T8_ARTEFACT_2H_SCYTHE_CRYSTAL	Elder's Edged Crystal	1	false
Cultist Cowl	4	T4_ARTEFACT_HEAD_CLOTH_MORGANA	Adept's Alluring Padding	1	false
Cultist Cowl	5	T5_ARTEFACT_HEAD_CLOTH_MORGANA	Expert's Alluring Padding	1	false
Cultist Cowl	6	T6_ARTEFACT_HEAD_CLOTH_MORGANA	Master's Alluring Padding	1	false
Cultist Cowl	7	T7_ARTEFACT_HEAD_CLOTH_MORGANA	Grandmaster's Alluring Padding	1	false
Cultist Cowl	8	T8_ARTEFACT_HEAD_CLOTH_MORGANA	Elder's Alluring Padding	1	false
Cultist Robe	4	T4_ARTEFACT_ARMOR_CLOTH_MORGANA	Adept's Alluring Amulet	1	false
Cultist Robe	5	T5_ARTEFACT_ARMOR_CLOTH_MORGANA	Expert's Alluring Amulet	1	false
Cultist Robe	6	T6_ARTEFACT_ARMOR_CLOTH_MORGANA	Master's Alluring Amulet	1	false
Cultist Robe	7	T7_ARTEFACT_ARMOR_CLOTH_MORGANA	Grandmaster's Alluring Amulet	1	false
Cultist Robe	8	T8_ARTEFACT_ARMOR_CLOTH_MORGANA	Elder's Alluring Amulet	1	false
Cultist Sandals	4	T4_ARTEFACT_SHOES_CLOTH_MORGANA	Adept's Alluring Bindings	1	false
Cultist Sandals	5	T5_ARTEFACT_SHOES_CLOTH_MORGANA	Expert's Alluring Bindings	1	false
Cultist Sandals	6	T6_ARTEFACT_SHOES_CLOTH_MORGANA	Master's Alluring Bindings	1	false
Cultist Sandals	7	T7_ARTEFACT_SHOES_CLOTH_MORGANA	Grandmaster's Alluring Bindings	1	false
Cultist Sandals	8	T8_ARTEFACT_SHOES_CLOTH_MORGANA	Elder's Alluring Bindings	1	false
Cursed Skull	4	T4_ARTEFACT_2H_SKULLORB_HELL	Adept's Cursed Jawbone	1	false
Cursed Skull	5	T5_ARTEFACT_2H_SKULLORB_HELL	Expert's Cursed Jawbone	1	false
Cursed Skull	6	T6_ARTEFACT_2H_SKULLORB_HELL	Master's Cursed Jawbone	1	false
Cursed Skull	7	T7_ARTEFACT_2H_SKULLORB_HELL	Grandmaster's Cursed Jawbone	1	false
Cursed Skull	8	T8_ARTEFACT_2H_SKULLORB_HELL	Elder's Cursed Jawbone	1	false
Damnation Staff	4	T4_ARTEFACT_2H_CURSEDSTAFF_MORGANA	Adept's Bloodforged Catalyst	1	false
Damnation Staff	5	T5_ARTEFACT_2H_CURSEDSTAFF_MORGANA	Expert's Bloodforged Catalyst	1	false
Damnation Staff	6	T6_ARTEFACT_2H_CURSEDSTAFF_MORGANA	Master's Bloodforged Catalyst	1	false
Damnation Staff	7	T7_ARTEFACT_2H_CURSEDSTAFF_MORGANA	Grandmaster's Bloodforged Catalyst	1	false
Damnation Staff	8	T8_ARTEFACT_2H_CURSEDSTAFF_MORGANA	Elder's Bloodforged Catalyst	1	false
Dawnsong	4	T4_ARTEFACT_2H_FIRE_RINGPAIR_AVALON	Adept's Glowing Harmonic Ring	1	false
Dawnsong	5	T5_ARTEFACT_2H_FIRE_RINGPAIR_AVALON	Expert's Glowing Harmonic Ring	1	false
Dawnsong	6	T6_ARTEFACT_2H_FIRE_RINGPAIR_AVALON	Master's Glowing Harmonic Ring	1	false
Dawnsong	7	T7_ARTEFACT_2H_FIRE_RINGPAIR_AVALON	Grandmaster's Glowing Harmonic Ring	1	false
Dawnsong	8	T8_ARTEFACT_2H_FIRE_RINGPAIR_AVALON	Elder's Glowing Harmonic Ring	1	false
Daybreaker	4	T4_ARTEFACT_MAIN_SPEAR_LANCE_AVALON	Adept's Ruined Ancestral Vamplate	1	false
Daybreaker	5	T5_ARTEFACT_MAIN_SPEAR_LANCE_AVALON	Expert's Ruined Ancestral Vamplate	1	false
Daybreaker	6	T6_ARTEFACT_MAIN_SPEAR_LANCE_AVALON	Master's Ruined Ancestral Vamplate	1	false
Daybreaker	7	T7_ARTEFACT_MAIN_SPEAR_LANCE_AVALON	Grandmaster's Ruined Ancestral Vamplate	1	false
Daybreaker	8	T8_ARTEFACT_MAIN_SPEAR_LANCE_AVALON	Elder's Ruined Ancestral Vamplate	1	false
Deathgivers	4	T4_ARTEFACT_2H_DUALSICKLE_UNDEAD	Adept's Ghastly Blades	1	false
Deathgivers	5	T5_ARTEFACT_2H_DUALSICKLE_UNDEAD	Expert's Ghastly Blades	1	false
Deathgivers	6	T6_ARTEFACT_2H_DUALSICKLE_UNDEAD	Master's Ghastly Blades	1	false
Deathgivers	7	T7_ARTEFACT_2H_DUALSICKLE_UNDEAD	Grandmaster's Ghastly Blades	1	false
Deathgivers	8	T8_ARTEFACT_2H_DUALSICKLE_UNDEAD	Elder's Ghastly Blades	1	false
Demon Armor	4	T4_ARTEFACT_ARMOR_PLATE_HELL	Adept's Demonic Plates	1	false
Demon Armor	5	T5_ARTEFACT_ARMOR_PLATE_HELL	Expert's Demonic Plates	1	false
Demon Armor	6	T6_ARTEFACT_ARMOR_PLATE_HELL	Master's Demonic Plates	1	false
Demon Armor	7	T7_ARTEFACT_ARMOR_PLATE_HELL	Grandmaster's Demonic Plates	1	false
Demon Armor	8	T8_ARTEFACT_ARMOR_PLATE_HELL	Elder's Demonic Plates	1	false
Demon Boots	4	T4_ARTEFACT_SHOES_PLATE_HELL	Adept's Demonic Filling	1	false
Demon Boots	5	T5_ARTEFACT_SHOES_PLATE_HELL	Expert's Demonic Filling	1	false
Demon Boots	6	T6_ARTEFACT_SHOES_PLATE_HELL	Master's Demonic Filling	1	false
Demon Boots	7	T7_ARTEFACT_SHOES_PLATE_HELL	Grandmaster's Demonic Filling	1	false
Demon Boots	8	T8_ARTEFACT_SHOES_PLATE_HELL	Elder's Demonic Filling	1	false
Demon Helmet	4	T4_ARTEFACT_HEAD_PLATE_HELL	Adept's Demonic Scraps	1	false
Demon Helmet	5	T5_ARTEFACT_HEAD_PLATE_HELL	Expert's Demonic Scraps	1	false
Demon Helmet	6	T6_ARTEFACT_HEAD_PLATE_HELL	Master's Demonic Scraps	1	false
Demon Helmet	7	T7_ARTEFACT_HEAD_PLATE_HELL	Grandmaster's Demonic Scraps	1	false
Demon Helmet	8	T8_ARTEFACT_HEAD_PLATE_HELL	Elder's Demonic Scraps	1	false
Demonfang	4	T4_ARTEFACT_MAIN_DAGGER_HELL	Adept's Broken Demonic Fang	1	false
Demonfang	5	T5_ARTEFACT_MAIN_DAGGER_HELL	Expert's Broken Demonic Fang	1	false
Demonfang	6	T6_ARTEFACT_MAIN_DAGGER_HELL	Master's Broken Demonic Fang	1	false
Demonfang	7	T7_ARTEFACT_MAIN_DAGGER_HELL	Grandmaster's Broken Demonic Fang	1	false
Demonfang	8	T8_ARTEFACT_MAIN_DAGGER_HELL	Elder's Broken Demonic Fang	1	false
Dreadstorm Monarch	4	T4_ARTEFACT_MAIN_MACE_CRYSTAL	Adept's Dreadstorm Crystal	1	false
Dreadstorm Monarch	5	T5_ARTEFACT_MAIN_MACE_CRYSTAL	Expert's Dreadstorm Crystal	1	false
Dreadstorm Monarch	6	T6_ARTEFACT_MAIN_MACE_CRYSTAL	Master's Dreadstorm Crystal	1	false
Dreadstorm Monarch	7	T7_ARTEFACT_MAIN_MACE_CRYSTAL	Grandmaster's Dreadstorm Crystal	1	false
Dreadstorm Monarch	8	T8_ARTEFACT_MAIN_MACE_CRYSTAL	Elder's Dreadstorm Crystal	1	false
Druid Cowl	4	T4_ARTEFACT_HEAD_CLOTH_KEEPER	Adept's Druidic Preserved Beak	1	false
Druid Cowl	5	T5_ARTEFACT_HEAD_CLOTH_KEEPER	Expert's Druidic Preserved Beak	1	false
Druid Cowl	6	T6_ARTEFACT_HEAD_CLOTH_KEEPER	Master's Druidic Preserved Beak	1	false
Druid Cowl	7	T7_ARTEFACT_HEAD_CLOTH_KEEPER	Grandmaster's Druidic Preserved Beak	1	false
Druid Cowl	8	T8_ARTEFACT_HEAD_CLOTH_KEEPER	Elder's Druidic Preserved Beak	1	false
Druid Robe	4	T4_ARTEFACT_ARMOR_CLOTH_KEEPER	Adept's Druidic Feathers	1	false
Druid Robe	5	T5_ARTEFACT_ARMOR_CLOTH_KEEPER	Expert's Druidic Feathers	1	false
Druid Robe	6	T6_ARTEFACT_ARMOR_CLOTH_KEEPER	Master's Druidic Feathers	1	false
