# normalized display name	exact unenchanted UniqueName
# Generated from formatted-items.txt; used for market_history demand lookups.
# entries=5092
"tame" caerleon cottontail	T8_FARM_RABBIT_EASTER_GROWN_DARK
1v1 premium victory pouch (bronze ii)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_BRONZE2
1v1 premium victory pouch (bronze iii)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_BRONZE3
1v1 premium victory pouch (bronze iv)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_BRONZE4
1v1 premium victory pouch (crystal)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_CRYSTAL
1v1 premium victory pouch (gold i)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_GOLD1
1v1 premium victory pouch (gold ii)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_GOLD2
1v1 premium victory pouch (gold iii)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_GOLD3
1v1 premium victory pouch (gold iv)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_GOLD4
1v1 premium victory pouch (iron i)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_IRON1
1v1 premium victory pouch (iron ii)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_IRON2
1v1 premium victory pouch (iron iii)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_IRON3
1v1 premium victory pouch (iron iv)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_IRON4
1v1 premium victory pouch (silver i)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_SILVER1
1v1 premium victory pouch (silver ii)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_SILVER2
1v1 premium victory pouch (silver iii)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_SILVER3
1v1 premium victory pouch (silver iv)	T3_LOOTBAG_1V1_ARENA_WIN_PREMIUM_SILVER4
1v1 victory pouch (bronze i)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_BRONZE1
1v1 victory pouch (bronze ii)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_BRONZE2
1v1 victory pouch (bronze iii)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_BRONZE3
1v1 victory pouch (bronze iv)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_BRONZE4
1v1 victory pouch (crystal)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_CRYSTAL
1v1 victory pouch (gold i)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_GOLD1
1v1 victory pouch (gold ii)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_GOLD2
1v1 victory pouch (gold iii)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_GOLD3
1v1 victory pouch (gold iv)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_GOLD4
1v1 victory pouch (iron i)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_IRON1
1v1 victory pouch (iron ii)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_IRON2
1v1 victory pouch (iron iii)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_IRON3
1v1 victory pouch (iron iv)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_IRON4
1v1 victory pouch (silver i)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_SILVER1
1v1 victory pouch (silver ii)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_SILVER2
1v1 victory pouch (silver iii)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_SILVER3
1v1 victory pouch (silver iv)	T2_LOOTBAG_1V1_ARENA_WIN_BASIC_SILVER4
2nd place statue - energy surge season	UNIQUE_FURNITUREITEM_GVG_SEASON_ENERGY_RUSH_2ND
2nd place statue - season 10	UNIQUE_FURNITUREITEM_GVG_SEASON_10_2ND
2nd place statue - season 11	UNIQUE_FURNITUREITEM_GVG_SEASON_11_2ND
2nd place statue - season 12	UNIQUE_FURNITUREITEM_GVG_SEASON_12_2ND
2nd place statue - season 13	UNIQUE_FURNITUREITEM_GVG_SEASON_13_2ND
2nd place statue - season 14	UNIQUE_FURNITUREITEM_GVG_SEASON_14_2ND
2nd place statue - season 15	UNIQUE_FURNITUREITEM_GVG_SEASON_15_2ND
2nd place statue - season 16	UNIQUE_FURNITUREITEM_GVG_SEASON_16_2ND
2nd place statue - season 17	UNIQUE_FURNITUREITEM_GVG_SEASON_17_2ND
2nd place statue - season 18	UNIQUE_FURNITUREITEM_GVG_SEASON_18_2ND
2nd place statue - season 9	UNIQUE_FURNITUREITEM_GVG_SEASON_09_2ND
3rd place statue - energy surge season	UNIQUE_FURNITUREITEM_GVG_SEASON_ENERGY_RUSH_3RD
3rd place statue - season 10	UNIQUE_FURNITUREITEM_GVG_SEASON_10_3RD
3rd place statue - season 11	UNIQUE_FURNITUREITEM_GVG_SEASON_11_3RD
3rd place statue - season 12	UNIQUE_FURNITUREITEM_GVG_SEASON_12_3RD
3rd place statue - season 13	UNIQUE_FURNITUREITEM_GVG_SEASON_13_3RD
3rd place statue - season 14	UNIQUE_FURNITUREITEM_GVG_SEASON_14_3RD
3rd place statue - season 15	UNIQUE_FURNITUREITEM_GVG_SEASON_15_3RD
3rd place statue - season 16	UNIQUE_FURNITUREITEM_GVG_SEASON_16_3RD
3rd place statue - season 17	UNIQUE_FURNITUREITEM_GVG_SEASON_17_3RD
3rd place statue - season 18	UNIQUE_FURNITUREITEM_GVG_SEASON_18_3RD
3rd place statue - season 9	UNIQUE_FURNITUREITEM_GVG_SEASON_09_3RD
abyssal memento	UNIQUE_FURNITUREITEM_KILLTROPHY_HELL_LARGE
academic biretta	UNIQUE_VANITY_HEAD_TUTORIAL_COMPLETED_AJ
acid potion	T5_POTION_ACID
adamantium ore	T8_ORE
adamantium ore sample	T8_FURNITUREITEM_TROPHY_ORE
adamantium steel bar	T8_METALBAR
adept animal skinner tome	T4_SKILLBOOK_GATHER_HIDE
adept blacksmith contract	T4_LABOURER_CONTRACT_WARRIOR
adept blacksmith's journal (empty)	T4_JOURNAL_WARRIOR_EMPTY
adept blacksmith's journal (full)	T4_JOURNAL_WARRIOR_FULL
adept blacksmith's journal (partially full)	T4_JOURNAL_WARRIOR
adept cropper contract	T4_LABOURER_CONTRACT_FIBER
adept cropper's journal (empty)	T4_JOURNAL_FIBER_EMPTY
adept cropper's journal (full)	T4_JOURNAL_FIBER_FULL
adept cropper's journal (partially full)	T4_JOURNAL_FIBER
adept cropper's trophy journal (empty)	T4_JOURNAL_TROPHY_FIBER_EMPTY
adept cropper's trophy journal (full)	T4_JOURNAL_TROPHY_FIBER_FULL
adept cropper's trophy journal (partially full)	T4_JOURNAL_TROPHY_FIBER
adept fiber harvester tome	T4_SKILLBOOK_GATHER_FIBER
adept fisherman contract	T4_LABOURER_CONTRACT_FISHERMAN
adept fisherman's journal (empty)	T4_JOURNAL_FISHING_EMPTY
adept fisherman's journal (full)	T4_JOURNAL_FISHING_FULL
adept fisherman's journal (partially full)	T4_JOURNAL_FISHING
adept fisherman's trophy journal (empty)	T4_JOURNAL_TROPHY_FISHING_EMPTY
adept fisherman's trophy journal (full)	T4_JOURNAL_TROPHY_FISHING_FULL
adept fisherman's trophy journal (partially full)	T4_JOURNAL_TROPHY_FISHING
adept fletcher contract	T4_LABOURER_CONTRACT_HUNTER
adept fletcher's journal (empty)	T4_JOURNAL_HUNTER_EMPTY
adept fletcher's journal (full)	T4_JOURNAL_HUNTER_FULL
adept fletcher's journal (partially full)	T4_JOURNAL_HUNTER
adept gamekeeper contract	T4_LABOURER_CONTRACT_HIDE
adept gamekeeper's journal (empty)	T4_JOURNAL_HIDE_EMPTY
adept gamekeeper's journal (full)	T4_JOURNAL_HIDE_FULL
adept gamekeeper's journal (partially full)	T4_JOURNAL_HIDE
adept gamekeeper's trophy journal (empty)	T4_JOURNAL_TROPHY_HIDE_EMPTY
adept gamekeeper's trophy journal (full)	T4_JOURNAL_TROPHY_HIDE_FULL
adept gamekeeper's trophy journal (partially full)	T4_JOURNAL_TROPHY_HIDE
adept imbuer contract	T4_LABOURER_CONTRACT_MAGE
adept imbuer's journal (empty)	T4_JOURNAL_MAGE_EMPTY
adept imbuer's journal (full)	T4_JOURNAL_MAGE_FULL
adept imbuer's journal (partially full)	T4_JOURNAL_MAGE
adept lumberjack contract	T4_LABOURER_CONTRACT_WOOD
adept lumberjack tome	T4_SKILLBOOK_GATHER_WOOD
adept lumberjack's journal (empty)	T4_JOURNAL_WOOD_EMPTY
adept lumberjack's journal (full)	T4_JOURNAL_WOOD_FULL
adept lumberjack's journal (partially full)	T4_JOURNAL_WOOD
adept lumberjack's trophy journal (empty)	T4_JOURNAL_TROPHY_WOOD_EMPTY
adept lumberjack's trophy journal (full)	T4_JOURNAL_TROPHY_WOOD_FULL
adept lumberjack's trophy journal (partially full)	T4_JOURNAL_TROPHY_WOOD
adept mercenary contract	T4_LABOURER_CONTRACT_MERCENARY
adept mercenary's journal (empty)	T4_JOURNAL_MERCENARY_EMPTY
adept mercenary's journal (full)	T4_JOURNAL_MERCENARY_FULL
adept mercenary's journal (partially full)	T4_JOURNAL_MERCENARY
adept mercenary's trophy	T4_FURNITUREITEM_TROPHY_MERCENARY
adept mercenary's trophy journal (empty)	T4_JOURNAL_TROPHY_MERCENARY_EMPTY
adept mercenary's trophy journal (full)	T4_JOURNAL_TROPHY_MERCENARY_FULL
adept mercenary's trophy journal (partially full)	T4_JOURNAL_TROPHY_MERCENARY
adept ore miner tome	T4_SKILLBOOK_GATHER_ORE
adept prospector contract	T4_LABOURER_CONTRACT_ORE
adept prospector's journal (empty)	T4_JOURNAL_ORE_EMPTY
adept prospector's journal (full)	T4_JOURNAL_ORE_FULL
adept prospector's journal (partially full)	T4_JOURNAL_ORE
adept prospector's trophy journal (empty)	T4_JOURNAL_TROPHY_ORE_EMPTY
adept prospector's trophy journal (full)	T4_JOURNAL_TROPHY_ORE_FULL
adept prospector's trophy journal (partially full)	T4_JOURNAL_TROPHY_ORE
adept quarrier tome	T4_SKILLBOOK_GATHER_ROCK
adept stonecutter contract	T4_LABOURER_CONTRACT_STONE
adept stonecutter's journal (empty)	T4_JOURNAL_STONE_EMPTY
adept stonecutter's journal (full)	T4_JOURNAL_STONE_FULL
adept stonecutter's journal (partially full)	T4_JOURNAL_STONE
adept stonecutter's trophy journal (empty)	T4_JOURNAL_TROPHY_STONE_EMPTY
adept stonecutter's trophy journal (full)	T4_JOURNAL_TROPHY_STONE_FULL
adept stonecutter's trophy journal (partially full)	T4_JOURNAL_TROPHY_STONE
adept tinker contract	T4_LABOURER_CONTRACT_TOOLMAKER
adept tinker's journal (empty)	T4_JOURNAL_TOOLMAKER_EMPTY
adept tinker's journal (full)	T4_JOURNAL_TOOLMAKER_FULL
adept tinker's journal (partially full)	T4_JOURNAL_TOOLMAKER
adept's alluring amulet	T4_ARTEFACT_ARMOR_CLOTH_MORGANA
adept's alluring bindings	T4_ARTEFACT_SHOES_CLOTH_MORGANA
adept's alluring bolts	T4_ARTEFACT_2H_CROSSBOWLARGE_MORGANA
adept's alluring crystal	T4_ARTEFACT_OFF_ORB_MORGANA
adept's alluring padding	T4_ARTEFACT_HEAD_CLOTH_MORGANA
adept's ancient bindings	T4_ARTEFACT_SHOES_PLATE_UNDEAD
adept's ancient chain rings	T4_ARTEFACT_ARMOR_PLATE_UNDEAD
adept's ancient hammer head	T4_ARTEFACT_2H_HAMMER_UNDEAD
adept's ancient padding	T4_ARTEFACT_HEAD_PLATE_UNDEAD
adept's ancient shield core	T4_ARTEFACT_OFF_TOWERSHIELD_UNDEAD
adept's arcane essence	T4_ESSENCE_POTION
adept's arcane staff	T4_MAIN_ARCANESTAFF
adept's arclight blasters	T4_2H_DUALCROSSBOW_CRYSTAL
adept's arclight crystal	T4_ARTEFACT_2H_DUALCROSSBOW_CRYSTAL
adept's arctic staff	T4_2H_FROSTSTAFF_CRYSTAL
adept's armor of valor	T4_ARMOR_PLATE_AVALON
adept's assassin hood	T4_HEAD_LEATHER_SET3
adept's assassin jacket	T4_ARMOR_LEATHER_SET3
adept's assassin shoes	T4_SHOES_LEATHER_SET3
adept's astral aegis	T4_OFF_SHIELD_AVALON
adept's astral staff	T4_2H_ARCANESTAFF_CRYSTAL
adept's augured fasteners	T4_ARTEFACT_SHOES_LEATHER_AVALON
adept's augured padding	T4_ARTEFACT_HEAD_LEATHER_AVALON
adept's augured sash	T4_ARTEFACT_ARMOR_LEATHER_AVALON
adept's avalonian axe	T4_2H_TOOL_AXE_AVALON
adept's avalonian battle memoir	T4_ARTEFACT_2H_AXE_AVALON
adept's avalonian cape	T4_CAPEITEM_AVALON
adept's avalonian crest	T4_CAPEITEM_AVALON_BP
adept's avalonian fishing rod	T4_2H_TOOL_FISHINGROD_AVALON
adept's avalonian pickaxe	T4_2H_TOOL_PICK_AVALON
adept's avalonian shard	T4_SHARD_AVALONIAN
adept's avalonian sickle	T4_2H_TOOL_SICKLE_AVALON
adept's avalonian siege hammer	T4_2H_TOOL_SIEGEHAMMER_AVALON
adept's avalonian skinning knife	T4_2H_TOOL_KNIFE_AVALON
adept's avalonian stone hammer	T4_2H_TOOL_HAMMER_AVALON
adept's axe	T4_2H_TOOL_AXE
adept's bag	T4_BAG
adept's bag of silver	T4_SILVERBAG_NONTRADABLE
adept's battle bracers	T4_2H_KNUCKLES_SET2
adept's battleaxe	T4_MAIN_AXE
adept's bear paws	T4_2H_DUALAXE_KEEPER
adept's bed	T4_FURNITUREITEM_BED
adept's bedrock mace	T4_MAIN_ROCKMACE_KEEPER
adept's black hands	T4_2H_IRONGAUNTLETS_HELL
adept's black leather	T4_ARTEFACT_2H_IRONGAUNTLETS_HELL
adept's black monk staff	T4_2H_COMBATSTAFF_MORGANA
adept's blazing staff	T4_2H_INFERNOSTAFF_MORGANA
adept's blight staff	T4_2H_NATURESTAFF_HELL
adept's bloodforged blade	T4_ARTEFACT_MAIN_SCIMITAR_MORGANA
adept's bloodforged catalyst	T4_ARTEFACT_2H_CURSEDSTAFF_MORGANA
adept's bloodforged spikes	T4_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA
adept's bloodletter	T4_MAIN_RAPIER_MORGANA
adept's bloodmoon staff	T4_2H_SHAPESHIFTER_MORGANA
adept's bloodstained antiquities	T4_ARTEFACT_2H_DAGGER_KATAR_AVALON
adept's blueflame crystal	T4_ARTEFACT_OFF_TORCH_CRYSTAL
adept's blueflame torch	T4_OFF_TORCH_CRYSTAL
adept's boltcasters	T4_2H_DUALCROSSBOW_HELL
adept's boots of valor	T4_SHOES_PLATE_AVALON
adept's bow	T4_2H_BOW
adept's bow of badon	T4_2H_BOW_KEEPER
adept's brawler gloves	T4_2H_KNUCKLES_SET1
adept's brecilien cape	T4_CAPEITEM_FW_BRECILIEN
adept's brecilien crest	T4_CAPEITEM_FW_BRECILIEN_BP
adept's bridgewatch cape	T4_CAPEITEM_FW_BRIDGEWATCH
adept's bridgewatch crest	T4_CAPEITEM_FW_BRIDGEWATCH_BP
adept's bridled fury	T4_2H_DAGGER_KATAR_AVALON
adept's brimstone staff	T4_2H_FIRESTAFF_HELL
adept's broadsword	T4_MAIN_SWORD
adept's broken demonic fang	T4_ARTEFACT_MAIN_DAGGER_HELL
adept's broken oaths	T4_ARTEFACT_2H_DUALMACE_AVALON
adept's burning orb	T4_ARTEFACT_2H_FIRESTAFF_HELL
adept's caerleon cape	T4_CAPEITEM_FW_CAERLEON
adept's caerleon crest	T4_CAPEITEM_FW_CAERLEON_BP
adept's caitiff shield	T4_OFF_SHIELD_HELL
adept's camlann mace	T4_2H_MACE_MORGANA
adept's cape	T4_CAPE
adept's carrioncaller	T4_2H_HALBERD_MORGANA
adept's carved bone	T4_ARTEFACT_2H_BOW_KEEPER
adept's carved skull padding	T4_ARTEFACT_HEAD_PLATE_KEEPER
adept's carving sword	T4_2H_CLEAVER_HELL
adept's celestial censer	T4_OFF_CENSER_AVALON
adept's chest	T4_FURNITUREITEM_CHEST
adept's chilled crystalline shard	T4_ARTEFACT_MAIN_FROSTSTAFF_AVALON
adept's chillhowl	T4_MAIN_FROSTSTAFF_AVALON
adept's clarent blade	T4_MAIN_SCIMITAR_MORGANA
adept's claws	T4_2H_CLAWPAIR
adept's claymore	T4_2H_CLAYMORE
adept's cleric cowl	T4_HEAD_CLOTH_SET2
adept's cleric robe	T4_ARMOR_CLOTH_SET2
adept's cleric sandals	T4_SHOES_CLOTH_SET2
adept's cowl of purity	T4_HEAD_CLOTH_AVALON
adept's crackling crystal	T4_ARTEFACT_2H_HAMMER_CRYSTAL
adept's crossbow	T4_2H_CROSSBOW
adept's crushed avalonian heirloom	T4_ARTEFACT_OFF_SHIELD_AVALON
adept's cryptcandle	T4_OFF_LAMP_UNDEAD
adept's crystal league chest	T4_LOOTCHEST_CRYSTAL_LEAGUE
adept's crystal reaper	T4_2H_SCYTHE_CRYSTAL
adept's crystal shard	T4_SHARD_CRYSTAL
adept's crystallized divinity	T4_ARTEFACT_TOKEN_FAVOR_4
adept's crystallized dread	T4_ARTEFACT_TOKEN_FAVOR_2
adept's crystallized magic	T4_ARTEFACT_TOKEN_FAVOR_3
adept's crystallized spirit	T4_ARTEFACT_TOKEN_FAVOR_1
adept's cultist cowl	T4_HEAD_CLOTH_MORGANA
adept's cultist robe	T4_ARMOR_CLOTH_MORGANA
adept's cultist sandals	T4_SHOES_CLOTH_MORGANA
adept's cursed barbs	T4_ARTEFACT_2H_TRIDENT_UNDEAD
adept's cursed blades	T4_ARTEFACT_2H_DUALSCIMITAR_UNDEAD
adept's cursed frozen crystal	T4_ARTEFACT_2H_ICECRYSTAL_UNDEAD
adept's cursed jawbone	T4_ARTEFACT_2H_SKULLORB_HELL
adept's cursed skull	T4_2H_SKULLORB_HELL
adept's cursed staff	T4_MAIN_CURSEDSTAFF
adept's dagger	T4_MAIN_DAGGER
adept's dagger pair	T4_2H_DAGGERPAIR
adept's damaged avalonian gauntlet	T4_ARTEFACT_2H_KNUCKLES_AVALON
adept's damnation staff	T4_2H_CURSEDSTAFF_MORGANA
adept's dawnbird remnant	T4_ARTEFACT_2H_SHAPESHIFTER_AVALON
adept's dawnsong	T4_2H_FIRE_RINGPAIR_AVALON
adept's daybreaker	T4_MAIN_SPEAR_LANCE_AVALON
adept's death-touched crystal	T4_ARTEFACT_2H_DAGGERPAIR_CRYSTAL
adept's deathgivers	T4_2H_DUALSICKLE_UNDEAD
adept's demon armor	T4_ARMOR_PLATE_HELL
adept's demon boots	T4_SHOES_PLATE_HELL
adept's demon cape	T4_CAPEITEM_DEMON
adept's demon crest	T4_CAPEITEM_DEMON_BP
adept's demon helmet	T4_HEAD_PLATE_HELL
adept's demonfang	T4_MAIN_DAGGER_HELL
adept's demonhide bindings	T4_ARTEFACT_SHOES_LEATHER_HELL
adept's demonhide leather	T4_ARTEFACT_ARMOR_LEATHER_HELL
adept's demonhide padding	T4_ARTEFACT_HEAD_LEATHER_HELL
adept's demonic arrowheads	T4_ARTEFACT_2H_BOW_HELL
adept's demonic blade	T4_ARTEFACT_2H_CLEAVER_HELL
adept's demonic filling	T4_ARTEFACT_SHOES_PLATE_HELL
adept's demonic jawbone	T4_ARTEFACT_OFF_DEMONSKULL_HELL
adept's demonic plates	T4_ARTEFACT_ARMOR_PLATE_HELL
adept's demonic scraps	T4_ARTEFACT_HEAD_PLATE_HELL
adept's demonic staff	T4_2H_DEMONICSTAFF
adept's divine staff	T4_2H_DIVINESTAFF
adept's double bladed staff	T4_2H_DOUBLEBLADEDSTAFF
adept's dreadstorm crystal	T4_ARTEFACT_MAIN_MACE_CRYSTAL
adept's dreadstorm monarch	T4_MAIN_MACE_CRYSTAL
adept's druid cowl	T4_HEAD_CLOTH_KEEPER
adept's druid robe	T4_ARMOR_CLOTH_KEEPER
adept's druid sandals	T4_SHOES_CLOTH_KEEPER
adept's druidic bindings	T4_ARTEFACT_SHOES_CLOTH_KEEPER
adept's druidic feathers	T4_ARTEFACT_ARMOR_CLOTH_KEEPER
adept's druidic inscriptions	T4_ARTEFACT_MAIN_NATURESTAFF_KEEPER
adept's druidic preserved beak	T4_ARTEFACT_HEAD_CLOTH_KEEPER
adept's druidic staff	T4_MAIN_NATURESTAFF_KEEPER
adept's dual swords	T4_2H_DUALSWORD
adept's dungeon map (group)	T4_RANDOM_DUNGEON_TOKEN_1
adept's dungeon map (solo)	T4_RANDOM_DUNGEON_SOLO_TOKEN_1
adept's duskweaver armor	T4_ARMOR_PLATE_FEY
adept's duskweaver boots	T4_SHOES_PLATE_FEY
adept's duskweaver helmet	T4_HEAD_PLATE_FEY
adept's earthrune staff	T4_2H_SHAPESHIFTER_KEEPER
adept's edged crystal	T4_ARTEFACT_2H_SCYTHE_CRYSTAL
adept's energy shaper	T4_2H_CROSSBOW_CANNON_AVALON
adept's engraved log	T4_ARTEFACT_2H_RAM_KEEPER
adept's enigmatic staff	T4_2H_ENIGMATICSTAFF
adept's evensong	T4_2H_ARCANE_RINGPAIR_AVALON
adept's exalted crystal	T4_ARTEFACT_2H_HOLYSTAFF_CRYSTAL
adept's exalted greave	T4_ARTEFACT_SHOES_PLATE_AVALON
adept's exalted plating	T4_ARTEFACT_ARMOR_PLATE_AVALON
adept's exalted staff	T4_2H_HOLYSTAFF_CRYSTAL
adept's exalted visor	T4_ARTEFACT_HEAD_PLATE_AVALON
adept's eye of secrets	T4_OFF_ORB_MORGANA
adept's facebreaker	T4_OFF_SPIKEDSHIELD_MORGANA
adept's faded essence	T4_ESSENCE
adept's fallen staff	T4_2H_HOLYSTAFF_HELL
adept's fawn	T4_FARM_GIANTSTAG_BABY
adept's fey dorsal wing	T4_ARTEFACT_ARMOR_CLOTH_FEY
adept's fey dragonscales	T4_ARTEFACT_SHOES_CLOTH_FEY
adept's feyscale hat	T4_HEAD_CLOTH_FEY
adept's feyscale robe	T4_ARMOR_CLOTH_FEY
adept's feyscale sandals	T4_SHOES_CLOTH_FEY
adept's fiend cowl	T4_HEAD_CLOTH_HELL
adept's fiend robe	T4_ARMOR_CLOTH_HELL
adept's fiend sandals	T4_SHOES_CLOTH_HELL
adept's fire staff	T4_MAIN_FIRESTAFF
adept's fisherman backpack	T4_BACKPACK_GATHERER_FISH
adept's fisherman cap	T4_HEAD_GATHERER_FISH
adept's fisherman garb	T4_ARMOR_GATHERER_FISH
adept's fisherman workboots	T4_SHOES_GATHERER_FISH
adept's fishing rod	T4_2H_TOOL_FISHINGROD
adept's fists of avalon	T4_2H_KNUCKLES_AVALON
adept's flamewalker staff	T4_MAIN_FIRESTAFF_CRYSTAL
adept's flawless griffin beak	T4_ARTEFACT_HEAD_LEATHER_FEY
adept's foal	T4_FARM_HORSE_BABY
adept's focus restoration potion	T4_FOCUSPOTION_NONTRADABLE
adept's forcepulse bracers	T4_2H_KNUCKLES_CRYSTAL
adept's forge hammers	T4_2H_DUALHAMMER_HELL
adept's forgebark staff	T4_MAIN_NATURESTAFF_CRYSTAL
adept's forged crystal	T4_ARTEFACT_MAIN_NATURESTAFF_CRYSTAL
adept's fort sterling cape	T4_CAPEITEM_FW_FORTSTERLING
adept's fort sterling crest	T4_CAPEITEM_FW_FORTSTERLING_BP
adept's fractured opaque orb	T4_ARTEFACT_MAIN_CURSEDSTAFF_AVALON
adept's frost staff	T4_MAIN_FROSTSTAFF
adept's galatine pair	T4_2H_DUALSCIMITAR_UNDEAD
adept's generalist trophy journal (empty)	T4_JOURNAL_TROPHY_GENERAL_EMPTY
adept's generalist trophy journal (full)	T4_JOURNAL_TROPHY_GENERAL_FULL
adept's generalist trophy journal (partially full)	T4_JOURNAL_TROPHY_GENERAL
adept's ghastly arrows	T4_ARTEFACT_2H_LONGBOW_UNDEAD
adept's ghastly bindings	T4_ARTEFACT_SHOES_LEATHER_UNDEAD
adept's ghastly blades	T4_ARTEFACT_2H_DUALSICKLE_UNDEAD
adept's ghastly candle	T4_ARTEFACT_OFF_LAMP_UNDEAD
adept's ghastly leather	T4_ARTEFACT_ARMOR_LEATHER_UNDEAD
adept's ghastly scroll	T4_ARTEFACT_2H_HOLYSTAFF_UNDEAD
adept's ghastly visor	T4_ARTEFACT_HEAD_LEATHER_UNDEAD
adept's giant stag	T4_MOUNT_GIANTSTAG
adept's glacial staff	T4_2H_GLACIALSTAFF
adept's glaive	T4_2H_GLAIVE
adept's glowing harmonic ring	T4_ARTEFACT_2H_FIRE_RINGPAIR_AVALON
adept's grailseeker	T4_2H_QUARTERSTAFF_AVALON
adept's graveguard armor	T4_ARMOR_PLATE_UNDEAD
adept's graveguard boots	T4_SHOES_PLATE_UNDEAD
adept's graveguard helmet	T4_HEAD_PLATE_UNDEAD
adept's great arcane staff	T4_2H_ARCANESTAFF
adept's great cursed staff	T4_2H_CURSEDSTAFF
adept's great fire staff	T4_2H_FIRESTAFF
adept's great frost staff	T4_2H_FROSTSTAFF
adept's great hammer	T4_2H_HAMMER
adept's great holy staff	T4_2H_HOLYSTAFF
adept's great nature staff	T4_2H_NATURESTAFF
