# normalized display name	exact unenchanted UniqueName
# entries=1653
acid potion	T5_POTION_ACID
adept's dawnsong	T4_2H_FIRE_RINGPAIR_AVALON
adept's daybreaker	T4_MAIN_SPEAR_LANCE_AVALON
adept's deathgivers	T4_2H_DUALSICKLE_UNDEAD
adept's demon armor	T4_ARMOR_PLATE_HELL
adept's demon boots	T4_SHOES_PLATE_HELL
adept's demon cape	T4_CAPEITEM_DEMON
adept's demon crest	T4_CAPEITEM_DEMON_BP
adept's demon helmet	T4_HEAD_PLATE_HELL
adept's demonfang	T4_MAIN_DAGGER_HELL
adept's demonic staff	T4_2H_DEMONICSTAFF
adept's divine staff	T4_2H_DIVINESTAFF
adept's double bladed staff	T4_2H_DOUBLEBLADEDSTAFF
adept's dreadstorm monarch	T4_MAIN_MACE_CRYSTAL
adept's druid cowl	T4_HEAD_CLOTH_KEEPER
adept's druid robe	T4_ARMOR_CLOTH_KEEPER
adept's druid sandals	T4_SHOES_CLOTH_KEEPER
adept's druidic staff	T4_MAIN_NATURESTAFF_KEEPER
adept's dual swords	T4_2H_DUALSWORD
adept's duskweaver armor	T4_ARMOR_PLATE_FEY
adept's duskweaver boots	T4_SHOES_PLATE_FEY
adept's duskweaver helmet	T4_HEAD_PLATE_FEY
adept's earthrune staff	T4_2H_SHAPESHIFTER_KEEPER
adept's energy shaper	T4_2H_CROSSBOW_CANNON_AVALON
adept's enigmatic staff	T4_2H_ENIGMATICSTAFF
adept's evensong	T4_2H_ARCANE_RINGPAIR_AVALON
adept's exalted staff	T4_2H_HOLYSTAFF_CRYSTAL
adept's eye of secrets	T4_OFF_ORB_MORGANA
adept's facebreaker	T4_OFF_SPIKEDSHIELD_MORGANA
adept's fallen staff	T4_2H_HOLYSTAFF_HELL
adept's feyscale hat	T4_HEAD_CLOTH_FEY
adept's feyscale robe	T4_ARMOR_CLOTH_FEY
adept's feyscale sandals	T4_SHOES_CLOTH_FEY
adept's fiend cowl	T4_HEAD_CLOTH_HELL
adept's fiend robe	T4_ARMOR_CLOTH_HELL
adept's fiend sandals	T4_SHOES_CLOTH_HELL
adept's fire staff	T4_MAIN_FIRESTAFF
adept's fisherman cap	T4_HEAD_GATHERER_FISH
adept's fisherman garb	T4_ARMOR_GATHERER_FISH
adept's fisherman workboots	T4_SHOES_GATHERER_FISH
adept's fishing rod	T4_2H_TOOL_FISHINGROD
adept's fists of avalon	T4_2H_KNUCKLES_AVALON
adept's flamewalker staff	T4_MAIN_FIRESTAFF_CRYSTAL
adept's forcepulse bracers	T4_2H_KNUCKLES_CRYSTAL
adept's forge hammers	T4_2H_DUALHAMMER_HELL
adept's forgebark staff	T4_MAIN_NATURESTAFF_CRYSTAL
adept's fort sterling cape	T4_CAPEITEM_FW_FORTSTERLING
adept's fort sterling crest	T4_CAPEITEM_FW_FORTSTERLING_BP
adept's frost staff	T4_MAIN_FROSTSTAFF
adept's galatine pair	T4_2H_DUALSCIMITAR_UNDEAD
adept's glacial staff	T4_2H_GLACIALSTAFF
adept's glaive	T4_2H_GLAIVE
adept's grailseeker	T4_2H_QUARTERSTAFF_AVALON
adept's graveguard armor	T4_ARMOR_PLATE_UNDEAD
adept's graveguard boots	T4_SHOES_PLATE_UNDEAD
adept's graveguard helmet	T4_HEAD_PLATE_UNDEAD
adept's great arcane staff	T4_2H_ARCANESTAFF
adept's great cursed staff	T4_2H_CURSEDSTAFF
adept's great fire staff	T4_2H_FIRESTAFF
adept's great frost staff	T4_2H_FROSTSTAFF
adept's great hammer	T4_2H_HAMMER
adept's great holy staff	T4_2H_HOLYSTAFF
adept's great nature staff	T4_2H_NATURESTAFF
adept's greataxe	T4_2H_AXE
adept's grovekeeper	T4_2H_RAM_KEEPER
adept's guardian armor	T4_ARMOR_PLATE_SET3
adept's guardian boots	T4_SHOES_PLATE_SET3
adept's guardian helmet	T4_HEAD_PLATE_SET3
adept's halberd	T4_2H_HALBERD
adept's hallowfall	T4_MAIN_HOLYSTAFF_AVALON
adept's hammer	T4_MAIN_HAMMER
adept's hand of justice	T4_2H_HAMMER_AVALON
adept's harvester cap	T4_HEAD_GATHERER_FIBER
adept's harvester garb	T4_ARMOR_GATHERER_FIBER
adept's harvester workboots	T4_SHOES_GATHERER_FIBER
adept's heavy crossbow	T4_2H_CROSSBOWLARGE
adept's heavy mace	T4_2H_MACE
adept's hellfire hands	T4_2H_KNUCKLES_HELL
adept's hellion hood	T4_HEAD_LEATHER_HELL
adept's hellion jacket	T4_ARMOR_LEATHER_HELL
adept's hellion shoes	T4_SHOES_LEATHER_HELL
adept's hellspawn staff	T4_2H_SHAPESHIFTER_HELL
adept's helmet of valor	T4_HEAD_PLATE_AVALON
adept's heretic cape	T4_CAPEITEM_HERETIC
adept's heretic crest	T4_CAPEITEM_HERETIC_BP
adept's heron spear	T4_MAIN_SPEAR_KEEPER
adept's hoarfrost staff	T4_MAIN_FROSTSTAFF_KEEPER
adept's holy staff	T4_MAIN_HOLYSTAFF
adept's hood of tenacity	T4_HEAD_LEATHER_AVALON
adept's hunter hood	T4_HEAD_LEATHER_SET2
adept's hunter jacket	T4_ARMOR_LEATHER_SET2
adept's hunter shoes	T4_SHOES_LEATHER_SET2
adept's icicle staff	T4_2H_ICEGAUNTLETS_HELL
adept's incubus mace	T4_MAIN_MACE_HELL
adept's infernal scythe	T4_2H_SCYTHE_HELL
adept's infernal staff	T4_2H_INFERNOSTAFF
adept's infinity blade	T4_MAIN_SWORD_CRYSTAL
adept's iron-clad staff	T4_2H_IRONCLADEDSTAFF
adept's ironroot staff	T4_MAIN_NATURESTAFF_AVALON
adept's jacket of tenacity	T4_ARMOR_LEATHER_AVALON
adept's judicator armor	T4_ARMOR_PLATE_KEEPER
adept's judicator boots	T4_SHOES_PLATE_KEEPER
adept's judicator helmet	T4_HEAD_PLATE_KEEPER
adept's keeper cape	T4_CAPEITEM_KEEPER
adept's keeper crest	T4_CAPEITEM_KEEPER_BP
adept's kingmaker	T4_2H_CLAYMORE_AVALON
adept's knight armor	T4_ARMOR_PLATE_SET2
adept's knight boots	T4_SHOES_PLATE_SET2
adept's knight helmet	T4_HEAD_PLATE_SET2
adept's leering cane	T4_OFF_JESTERCANE_HELL
adept's lifecurse staff	T4_MAIN_CURSEDSTAFF_UNDEAD
adept's lifetouch staff	T4_MAIN_HOLYSTAFF_MORGANA
adept's light crossbow	T4_MAIN_1HCROSSBOW
adept's lightcaller	T4_2H_SHAPESHIFTER_AVALON
adept's longbow	T4_2H_LONGBOW
adept's lumberjack cap	T4_HEAD_GATHERER_WOOD
adept's lumberjack garb	T4_ARMOR_GATHERER_WOOD
adept's lumberjack workboots	T4_SHOES_GATHERER_WOOD
adept's lymhurst cape	T4_CAPEITEM_FW_LYMHURST
adept's lymhurst crest	T4_CAPEITEM_FW_LYMHURST_BP
adept's mace	T4_MAIN_MACE
adept's mage cowl	T4_HEAD_CLOTH_SET3
adept's mage robe	T4_ARMOR_CLOTH_SET3
adept's mage sandals	T4_SHOES_CLOTH_SET3
adept's malevolent locus	T4_2H_ENIGMATICORB_MORGANA
adept's martlock cape	T4_CAPEITEM_FW_MARTLOCK
adept's martlock crest	T4_CAPEITEM_FW_MARTLOCK_BP
adept's mercenary hood	T4_HEAD_LEATHER_SET1
adept's mercenary jacket	T4_ARMOR_LEATHER_SET1
adept's mercenary shoes	T4_SHOES_LEATHER_SET1
adept's miner cap	T4_HEAD_GATHERER_ORE
adept's miner garb	T4_ARMOR_GATHERER_ORE
adept's miner workboots	T4_SHOES_GATHERER_ORE
adept's mistcaller	T4_OFF_HORN_KEEPER
adept's mistpiercer	T4_2H_BOW_AVALON
adept's mistwalker hood	T4_HEAD_LEATHER_FEY
adept's mistwalker jacket	T4_ARMOR_LEATHER_FEY
adept's mistwalker shoes	T4_SHOES_LEATHER_FEY
adept's morgana cape	T4_CAPEITEM_MORGANA
adept's morgana crest	T4_CAPEITEM_MORGANA_BP
adept's morning star	T4_2H_FLAIL
adept's muisak	T4_OFF_DEMONSKULL_HELL
adept's nature staff	T4_MAIN_NATURESTAFF
adept's oathkeepers	T4_2H_DUALMACE_AVALON
adept's occult staff	T4_2H_ARCANESTAFF_HELL
adept's permafrost prism	T4_2H_ICECRYSTAL_UNDEAD
adept's phantom twinblade	T4_2H_DOUBLEBLADEDSTAFF_CRYSTAL
adept's pickaxe	T4_2H_TOOL_PICK
adept's pike	T4_2H_SPEAR
adept's polehammer	T4_2H_POLEHAMMER
adept's primal staff	T4_2H_SHAPESHIFTER_SET3
adept's prowling staff	T4_2H_SHAPESHIFTER_SET1
adept's quarrier cap	T4_HEAD_GATHERER_ROCK
adept's quarrier garb	T4_ARMOR_GATHERER_ROCK
adept's quarrier workboots	T4_SHOES_GATHERER_ROCK
adept's quarterstaff	T4_2H_QUARTERSTAFF
adept's rampant staff	T4_2H_NATURESTAFF_KEEPER
adept's ravenstrike cestus	T4_2H_KNUCKLES_MORGANA
adept's realmbreaker	T4_2H_AXE_AVALON
adept's redemption staff	T4_2H_HOLYSTAFF_UNDEAD
adept's rift glaive	T4_2H_GLAIVE_CRYSTAL
adept's robe of purity	T4_ARMOR_CLOTH_AVALON
adept's rootbound staff	T4_2H_SHAPESHIFTER_SET2
adept's rotcaller staff	T4_MAIN_CURSEDSTAFF_CRYSTAL
adept's royal armor	T4_ARMOR_PLATE_ROYAL
adept's royal boots	T4_SHOES_PLATE_ROYAL
adept's royal cowl	T4_HEAD_CLOTH_ROYAL
adept's royal helmet	T4_HEAD_PLATE_ROYAL
adept's royal hood	T4_HEAD_LEATHER_ROYAL
adept's royal jacket	T4_ARMOR_LEATHER_ROYAL
adept's royal robe	T4_ARMOR_CLOTH_ROYAL
adept's royal sandals	T4_SHOES_CLOTH_ROYAL
adept's royal shoes	T4_SHOES_LEATHER_ROYAL
adept's sacred scepter	T4_OFF_TALISMAN_AVALON
adept's sandals of purity	T4_SHOES_CLOTH_AVALON
adept's sarcophagus	T4_OFF_TOWERSHIELD_UNDEAD
adept's satchel of insight	T4_BAG_INSIGHT
adept's scholar cowl	T4_HEAD_CLOTH_SET1
adept's scholar robe	T4_ARMOR_CLOTH_SET1
adept's scholar sandals	T4_SHOES_CLOTH_SET1
adept's shadowcaller	T4_MAIN_CURSEDSTAFF_AVALON
adept's shield	T4_OFF_SHIELD
adept's shoes of tenacity	T4_SHOES_LEATHER_AVALON
adept's sickle	T4_2H_TOOL_SICKLE
adept's siege hammer	T4_2H_TOOL_SIEGEHAMMER
adept's siegebow	T4_2H_CROSSBOWLARGE_MORGANA
adept's skinner cap	T4_HEAD_GATHERER_HIDE
adept's skinner garb	T4_ARMOR_GATHERER_HIDE
adept's skinner workboots	T4_SHOES_GATHERER_HIDE
adept's skinning knife	T4_2H_TOOL_KNIFE
adept's skystrider bow	T4_2H_BOW_CRYSTAL
adept's smuggler cape	T4_CAPEITEM_SMUGGLER
adept's smuggler crest	T4_CAPEITEM_SMUGGLER_BP
adept's soldier armor	T4_ARMOR_PLATE_SET1
adept's soldier boots	T4_SHOES_PLATE_SET1
adept's soldier helmet	T4_HEAD_PLATE_SET1
adept's soulscythe	T4_2H_TWINSCYTHE_HELL
adept's spear	T4_MAIN_SPEAR
adept's specter hood	T4_HEAD_LEATHER_UNDEAD
adept's specter jacket	T4_ARMOR_LEATHER_UNDEAD
adept's specter shoes	T4_SHOES_LEATHER_UNDEAD
adept's spiked gauntlets	T4_2H_KNUCKLES_SET3
adept's spirithunter	T4_2H_HARPOON_HELL
adept's staff of balance	T4_2H_ROCKSTAFF_KEEPER
adept's stalker hood	T4_HEAD_LEATHER_MORGANA
adept's stalker jacket	T4_ARMOR_LEATHER_MORGANA
adept's stalker shoes	T4_SHOES_LEATHER_MORGANA
adept's stillgaze staff	T4_2H_SHAPESHIFTER_CRYSTAL
adept's stone hammer	T4_2H_TOOL_HAMMER
adept's taproot	T4_OFF_TOTEM_KEEPER
adept's thetford cape	T4_CAPEITEM_FW_THETFORD
adept's thetford crest	T4_CAPEITEM_FW_THETFORD_BP
adept's timelocked grimoire	T4_OFF_TOME_CRYSTAL
adept's tombhammer	T4_2H_HAMMER_UNDEAD
adept's tome of spells	T4_OFF_BOOK
adept's torch	T4_OFF_TORCH
adept's tracking toolkit	T4_2H_TOOL_TRACKING
adept's trinity spear	T4_2H_TRIDENT_UNDEAD
adept's truebolt hammer	T4_2H_HAMMER_CRYSTAL
adept's twin slayers	T4_2H_DAGGERPAIR_CRYSTAL
adept's unbreakable ward	T4_OFF_SHIELD_CRYSTAL
adept's undead cape	T4_CAPEITEM_UNDEAD
adept's undead crest	T4_CAPEITEM_UNDEAD_BP
adept's ursine maulers	T4_2H_KNUCKLES_KEEPER
adept's wailing bow	T4_2H_BOW_HELL
adept's warbow	T4_2H_WARBOW
adept's weeping repeater	T4_2H_REPEATINGCROSSBOW_UNDEAD
adept's whispering bow	T4_2H_LONGBOW_UNDEAD
adept's wild staff	T4_2H_WILDSTAFF
adept's wildfire staff	T4_MAIN_FIRESTAFF_KEEPER
adept's witchwork staff	T4_MAIN_ARCANESTAFF_UNDEAD
arena veteran's large banner	T8_CAPE_ARENA_BANNER
arena veteran's medium banner	T6_CAPE_ARENA_BANNER
arena veteran's small banner	T4_CAPE_ARENA_BANNER
avalonian beef sandwich	T8_MEAL_SANDWICH_AVALON
avalonian beef stew	T8_MEAL_STEW_AVALON
avalonian chicken omelette	T3_MEAL_OMELETTE_AVALON
avalonian goat sandwich	T4_MEAL_SANDWICH_AVALON
avalonian goat stew	T4_MEAL_STEW_AVALON
avalonian goose omelette	T5_MEAL_OMELETTE_AVALON
avalonian mutton sandwich	T6_MEAL_SANDWICH_AVALON
avalonian mutton stew	T6_MEAL_STEW_AVALON
avalonian pork omelette	T7_MEAL_OMELETTE_AVALON
bean salad	T2_MEAL_SALAD
beef sandwich	T8_MEAL_SANDWICH
beef stew	T8_MEAL_STEW
berserk potion	T6_POTION_BERSERK
blackbog clam soup	T5_MEAL_SOUP_FISH
cabbage soup	T5_MEAL_SOUP
calming potion	T5_POTION_MOB_RESET
chicken omelette	T3_MEAL_OMELETTE
chicken pie	T3_MEAL_PIE
cleansing potion	T5_POTION_CLEANSE2
deadwater eel stew	T8_MEAL_STEW_FISH
deepwater kraken salad	T6_MEAL_SALAD_FISH
drybrook crab omelette	T5_MEAL_OMELETTE_FISH
dusthole crab omelette	T7_MEAL_OMELETTE_FISH
elder's arcane staff	T8_MAIN_ARCANESTAFF
elder's arclight blasters	T8_2H_DUALCROSSBOW_CRYSTAL
elder's arctic staff	T8_2H_FROSTSTAFF_CRYSTAL
elder's armor of valor	T8_ARMOR_PLATE_AVALON
elder's assassin hood	T8_HEAD_LEATHER_SET3
elder's assassin jacket	T8_ARMOR_LEATHER_SET3
elder's assassin shoes	T8_SHOES_LEATHER_SET3
elder's astral aegis	T8_OFF_SHIELD_AVALON
elder's astral staff	T8_2H_ARCANESTAFF_CRYSTAL
elder's avalonian axe	T8_2H_TOOL_AXE_AVALON
elder's avalonian cape	T8_CAPEITEM_AVALON
elder's avalonian crest	T8_CAPEITEM_AVALON_BP
elder's avalonian fishing rod	T8_2H_TOOL_FISHINGROD_AVALON
elder's avalonian pickaxe	T8_2H_TOOL_PICK_AVALON
elder's avalonian sickle	T8_2H_TOOL_SICKLE_AVALON
elder's avalonian siege hammer	T8_2H_TOOL_SIEGEHAMMER_AVALON
elder's avalonian skinning knife	T8_2H_TOOL_KNIFE_AVALON
elder's avalonian stone hammer	T8_2H_TOOL_HAMMER_AVALON
elder's axe	T8_2H_TOOL_AXE
elder's bag	T8_BAG
elder's battle bracers	T8_2H_KNUCKLES_SET2
elder's battleaxe	T8_MAIN_AXE
elder's bear paws	T8_2H_DUALAXE_KEEPER
elder's bedrock mace	T8_MAIN_ROCKMACE_KEEPER
elder's black hands	T8_2H_IRONGAUNTLETS_HELL
elder's black monk staff	T8_2H_COMBATSTAFF_MORGANA
elder's blazing staff	T8_2H_INFERNOSTAFF_MORGANA
elder's blight staff	T8_2H_NATURESTAFF_HELL
elder's bloodletter	T8_MAIN_RAPIER_MORGANA
elder's bloodmoon staff	T8_2H_SHAPESHIFTER_MORGANA
elder's blueflame torch	T8_OFF_TORCH_CRYSTAL
elder's boltcasters	T8_2H_DUALCROSSBOW_HELL
elder's boots of valor	T8_SHOES_PLATE_AVALON
elder's bow	T8_2H_BOW
elder's bow of badon	T8_2H_BOW_KEEPER
elder's brawler gloves	T8_2H_KNUCKLES_SET1
elder's brecilien cape	T8_CAPEITEM_FW_BRECILIEN
elder's brecilien crest	T8_CAPEITEM_FW_BRECILIEN_BP
elder's bridgewatch cape	T8_CAPEITEM_FW_BRIDGEWATCH
elder's bridgewatch crest	T8_CAPEITEM_FW_BRIDGEWATCH_BP
elder's bridled fury	T8_2H_DAGGER_KATAR_AVALON
elder's brimstone staff	T8_2H_FIRESTAFF_HELL
elder's broadsword	T8_MAIN_SWORD
elder's caerleon cape	T8_CAPEITEM_FW_CAERLEON
elder's caerleon crest	T8_CAPEITEM_FW_CAERLEON_BP
elder's caitiff shield	T8_OFF_SHIELD_HELL
elder's camlann mace	T8_2H_MACE_MORGANA
elder's cape	T8_CAPE
elder's carrioncaller	T8_2H_HALBERD_MORGANA
elder's carving sword	T8_2H_CLEAVER_HELL
elder's celestial censer	T8_OFF_CENSER_AVALON
elder's chillhowl	T8_MAIN_FROSTSTAFF_AVALON
elder's clarent blade	T8_MAIN_SCIMITAR_MORGANA
elder's claws	T8_2H_CLAWPAIR
elder's claymore	T8_2H_CLAYMORE
elder's cleric cowl	T8_HEAD_CLOTH_SET2
elder's cleric robe	T8_ARMOR_CLOTH_SET2
elder's cleric sandals	T8_SHOES_CLOTH_SET2
elder's cowl of purity	T8_HEAD_CLOTH_AVALON
elder's crossbow	T8_2H_CROSSBOW
elder's cryptcandle	T8_OFF_LAMP_UNDEAD
elder's crystal reaper	T8_2H_SCYTHE_CRYSTAL
elder's cultist cowl	T8_HEAD_CLOTH_MORGANA
elder's cultist robe	T8_ARMOR_CLOTH_MORGANA
elder's cultist sandals	T8_SHOES_CLOTH_MORGANA
elder's cursed skull	T8_2H_SKULLORB_HELL
elder's cursed staff	T8_MAIN_CURSEDSTAFF
elder's dagger	T8_MAIN_DAGGER
elder's dagger pair	T8_2H_DAGGERPAIR
elder's damnation staff	T8_2H_CURSEDSTAFF_MORGANA
elder's dawnsong	T8_2H_FIRE_RINGPAIR_AVALON
elder's daybreaker	T8_MAIN_SPEAR_LANCE_AVALON
elder's deathgivers	T8_2H_DUALSICKLE_UNDEAD
elder's demon armor	T8_ARMOR_PLATE_HELL
elder's demon boots	T8_SHOES_PLATE_HELL
elder's demon cape	T8_CAPEITEM_DEMON
elder's demon crest	T8_CAPEITEM_DEMON_BP
elder's demon helmet	T8_HEAD_PLATE_HELL
elder's demonfang	T8_MAIN_DAGGER_HELL
elder's demonic staff	T8_2H_DEMONICSTAFF
elder's divine staff	T8_2H_DIVINESTAFF
elder's double bladed staff	T8_2H_DOUBLEBLADEDSTAFF
elder's dreadstorm monarch	T8_MAIN_MACE_CRYSTAL
elder's druid cowl	T8_HEAD_CLOTH_KEEPER
elder's druid robe	T8_ARMOR_CLOTH_KEEPER
elder's druid sandals	T8_SHOES_CLOTH_KEEPER
elder's druidic staff	T8_MAIN_NATURESTAFF_KEEPER
elder's dual swords	T8_2H_DUALSWORD
elder's duskweaver armor	T8_ARMOR_PLATE_FEY
elder's duskweaver boots	T8_SHOES_PLATE_FEY
elder's duskweaver helmet	T8_HEAD_PLATE_FEY
elder's earthrune staff	T8_2H_SHAPESHIFTER_KEEPER
elder's energy shaper	T8_2H_CROSSBOW_CANNON_AVALON
elder's enigmatic staff	T8_2H_ENIGMATICSTAFF
elder's evensong	T8_2H_ARCANE_RINGPAIR_AVALON
elder's exalted staff	T8_2H_HOLYSTAFF_CRYSTAL
elder's eye of secrets	T8_OFF_ORB_MORGANA
elder's facebreaker	T8_OFF_SPIKEDSHIELD_MORGANA
elder's fallen staff	T8_2H_HOLYSTAFF_HELL
elder's feyscale hat	T8_HEAD_CLOTH_FEY
elder's feyscale robe	T8_ARMOR_CLOTH_FEY
elder's feyscale sandals	T8_SHOES_CLOTH_FEY
elder's fiend cowl	T8_HEAD_CLOTH_HELL
elder's fiend robe	T8_ARMOR_CLOTH_HELL
elder's fiend sandals	T8_SHOES_CLOTH_HELL
elder's fire staff	T8_MAIN_FIRESTAFF
elder's fisherman cap	T8_HEAD_GATHERER_FISH
elder's fisherman garb	T8_ARMOR_GATHERER_FISH
elder's fisherman workboots	T8_SHOES_GATHERER_FISH
elder's fishing rod	T8_2H_TOOL_FISHINGROD
elder's fists of avalon	T8_2H_KNUCKLES_AVALON
elder's flamewalker staff	T8_MAIN_FIRESTAFF_CRYSTAL
elder's forcepulse bracers	T8_2H_KNUCKLES_CRYSTAL
elder's forge hammers	T8_2H_DUALHAMMER_HELL
elder's forgebark staff	T8_MAIN_NATURESTAFF_CRYSTAL
elder's fort sterling cape	T8_CAPEITEM_FW_FORTSTERLING
elder's fort sterling crest	T8_CAPEITEM_FW_FORTSTERLING_BP
elder's frost staff	T8_MAIN_FROSTSTAFF
elder's galatine pair	T8_2H_DUALSCIMITAR_UNDEAD
elder's glacial staff	T8_2H_GLACIALSTAFF
elder's glaive	T8_2H_GLAIVE
elder's grailseeker	T8_2H_QUARTERSTAFF_AVALON
elder's graveguard armor	T8_ARMOR_PLATE_UNDEAD
elder's graveguard boots	T8_SHOES_PLATE_UNDEAD
elder's graveguard helmet	T8_HEAD_PLATE_UNDEAD
elder's great arcane staff	T8_2H_ARCANESTAFF
elder's great cursed staff	T8_2H_CURSEDSTAFF
elder's great frost staff	T8_2H_FROSTSTAFF
elder's great hammer	T8_2H_HAMMER
elder's great holy staff	T8_2H_HOLYSTAFF
elder's great nature staff	T8_2H_NATURESTAFF
elder's grovekeeper	T8_2H_RAM_KEEPER
elder's guardian armor	T8_ARMOR_PLATE_SET3
elder's guardian boots	T8_SHOES_PLATE_SET3
elder's guardian helmet	T8_HEAD_PLATE_SET3
elder's halberd	T8_2H_HALBERD
elder's hallowfall	T8_MAIN_HOLYSTAFF_AVALON
elder's hammer	T8_MAIN_HAMMER
elder's hand of justice	T8_2H_HAMMER_AVALON
elder's harvester cap	T8_HEAD_GATHERER_FIBER
elder's harvester garb	T8_ARMOR_GATHERER_FIBER
elder's harvester workboots	T8_SHOES_GATHERER_FIBER
elder's heavy crossbow	T8_2H_CROSSBOWLARGE
elder's heavy mace	T8_2H_MACE
elder's hellfire hands	T8_2H_KNUCKLES_HELL
elder's hellion hood	T8_HEAD_LEATHER_HELL
elder's hellion jacket	T8_ARMOR_LEATHER_HELL
elder's hellion shoes	T8_SHOES_LEATHER_HELL
elder's hellspawn staff	T8_2H_SHAPESHIFTER_HELL
elder's helmet of valor	T8_HEAD_PLATE_AVALON
elder's heretic cape	T8_CAPEITEM_HERETIC
elder's heretic crest	T8_CAPEITEM_HERETIC_BP
elder's heron spear	T8_MAIN_SPEAR_KEEPER
elder's hoarfrost staff	T8_MAIN_FROSTSTAFF_KEEPER
elder's holy staff	T8_MAIN_HOLYSTAFF
elder's hood of tenacity	T8_HEAD_LEATHER_AVALON
elder's hunter hood	T8_HEAD_LEATHER_SET2
elder's hunter jacket	T8_ARMOR_LEATHER_SET2
elder's hunter shoes	T8_SHOES_LEATHER_SET2
elder's icicle staff	T8_2H_ICEGAUNTLETS_HELL
elder's incubus mace	T8_MAIN_MACE_HELL
elder's infernal scythe	T8_2H_SCYTHE_HELL
elder's infernal staff	T8_2H_INFERNOSTAFF
elder's infinity blade	T8_MAIN_SWORD_CRYSTAL
elder's iron-clad staff	T8_2H_IRONCLADEDSTAFF
